menteeId,compatibleMentors
2016,0
1878,0
1620,0
2479,0
2566,0
2316,0
1989,0
1712,0
1827,0
1904,0
2062,0
1907,0
2449,0
1924,0
1999,0
2242,0
2319,0
1687,0
1714,0
2219,0
1790,0
2052,0
1863,0
2150,0
2494,0
1618,0
1873,0
2174,0
2110,0
2496,0
1609,0
2149,0
2152,0
1942,0
2226,0
2318,0
1695,0
2031,0
2304,0
2282,0
1766,0
1802,0
1937,0
2000,0
2023,0
1750,0
2060,0
1828,0
2245,0
2371,0
2502,0
2523,0
2526,0
2182,0
2185,0
2188,0
2191,0
2398,0
2399,0
1824,5
1849,12
1925,19
1914,28
1931,28
1941,28
2358,28
2521,28
2393,28
